,composition,Formation Energy (eV/atom)
632,Ac2Nd2Te6,-1.50453
633,Ac2Nd6S12,-2.09204
634,Ac2Ni2,-0.26707
635,Ac4Ni4O12,-1.67819
636,AcNiP,-1.01654
637,AcNiRh,-0.4822
638,Ac4Si4Ni4,-0.64542
639,Ac2Si4Ni2,-0.72619
640,Ac2Si6Ni2,-0.60006
641,AcZnNi,-0.33566
642,Ac2Zn4Ni2,-0.32474
643,AcNi2,-0.33593
644,Ac2Ni4P4,-0.91496
645,Ac2Ni4Sb4,-0.59366
646,Ac2Si4Ni4,-0.70937
647,Ac2Ni4Sn4,-0.4513
648,Ac2Zn2Ni6,-0.29011
649,AcNi5,-0.28881
650,Ac2Np2O8,-3.34459
651,AcNpO5,-3.06157
652,Ac2Np4Se10,-1.41406
653,Ac2P2Os2O2,-1.83052
654,Ac2P2O2,-2.30046
655,Ac2P2Pd2O2,-1.95243
656,Ac2P2Rh2O2,-2.01938
657,Ac2P2Ru2O2,-2.01415
658,Ac2Tc2P2O2,-1.8903
659,Ac2Zn2P2O2,-1.88432
660,Ac2Sb2O2,-2.22466
661,AcPa4O12,-3.67268
662,AcTc4O12,-1.8138
663,RbAcO2,-2.66626
664,Ac4Pd4O12,-2.06639
665,Ac4Rh4O12,-2.20238
666,Ac4Sc4O12,-3.63106
667,Ac4Ti4O12,-3.34745
668,Ac4Tm4O12,-3.66368
669,Ac4V4O12,-2.55796
670,Ac2P2O8,-3.17727
671,AcPaO4,-3.79799
672,Ac2Ru2O8,-2.11776
673,Ac2Sb2O8,-2.43642
674,Ac2Ta2O8,-3.25644
675,Ac2U2O8,-3.47477
676,Ac2V2O8,-2.55364
677,Ac2W2O8,-1.82531
678,Ac2Re2O10,-2.37858
679,AcPt2O6,-1.47569
680,AcRh2O6,-1.58118
681,Ac2Se4O12,-1.68721
682,AcTa2O6,-3.11746
683,AcTa2O7,-2.97894
684,AcS2O8,-1.93934
685,AcPmOs,-0.04512
686,Ac2Si2Os2,-0.56577
687,AcTbOs,-0.03428
688,AcSb12Os4,-0.16401
689,AcP,-1.30953
690,AcPPd,-1.16562
691,AcPPt,-1.24237
692,AcPRh,-1.14286
693,Ac2P2S8,-1.10112
694,AcP2Pd2,-0.9282
695,AcP2Pd5,-0.75957
696,Ac2Pa4S10,-1.77897
697,Ac2Pa4Se10,-1.56157
698,Ac2Pa4Te10,-1.06118
699,Ac4Pd8Pb4,-0.68032
700,AcPt4Pb,-0.68098
701,Ac2Sc2Pb2,-0.39933
702,Ac4Pd4Pb8,-0.54618
703,Ac2Rh2Pb4,-0.46032
704,AcTlPb2,-0.33515
705,AcPb3,-0.39892
706,AcRh4Pb6,-0.20695
707,AcPd,-0.70789
708,AcSbPd,-1.01034
709,AcSiPd,-0.88956
710,AcSnPd,-0.79927
711,Ac2Sn4Pd2,-0.73589
712,AcZnPd,-0.64943
713,Ac2Zn4Pd2,-0.51436
714,Ac2Sb4Pd4,-0.8405
715,AcSi2Pd2,-0.8549
716,AcSnPd2,-0.82224
717,AcSn2Pd2,-0.73812
718,SrAcPd2,-0.71231
719,AcTe2Pd2,-0.7511
720,Ac4Zn4Pd8,-0.73705
721,AcPd3,-0.7015
722,Ac2Si2Pd6,-0.83407
723,AcTlPd4,-0.60798
724,AcPd5,-0.6092
725,AcPmRu,-0.14923
726,Ac2Pm2Si6,-0.61297
727,AcPmSi4,-0.5435
728,Ac2Pm6S12,-2.11179
729,Ac2Pm6Se12,-1.94239
730,Ac2Pm6Te12,-1.47084
731,AcPrRu,-0.13215
732,Ac2Pr2Si6,-0.61699
733,AcPt,-1.00741
734,AcPtRh,-0.76356
735,Ac2Sb2Pt2,-1.04076
736,AcSiPt,-1.04581
737,AcSi2Pt,-0.79795
738,AcSnPt,-0.90683
739,Ac4Sn8Pt4,-0.7854
740,AcYbPt,-0.84764
741,AcZnPt,-0.81959
742,AcPt2,-1.01699
743,Ac2Sb4Pt4,-0.84085
744,Ac2Si4Pt4,-0.92957
745,Ac2Sn4Pt4,-0.84756
746,AcYbPt2,-1.0504
747,AcZn2Pt2,-0.79096
748,SrAcPt4,-0.95285
749,AcTlPt4,-0.68013
750,AcPt5,-0.69495
751,AcSi2Pt5,-0.85477
752,Ac2Pu2Si2,-0.21281
753,AcPuTe2,-1.22507
754,RbAcS2,-1.85414
755,RbAcSe2,-1.74421
756,RbAcTe2,-1.44075
757,Ac2Rh2,-0.61894
758,AcSbRh,-0.85242
759,Ac4Si4Rh4,-0.86595
760,AcSi3Rh,-0.7598
761,Ac4Sn4Rh4,-0.72797
762,Ac4Sn8Rh4,-0.65504
763,Sr2Ac2Rh2,-0.37639
764,AcTeRh,-1.03098
765,Ac2Tl4Rh2,-0.37501
766,AcYbRh,-0.51081
767,Ac4Zn4Rh4,-0.56679
768,Ac2Zn4Rh2,-0.48276
769,Ac2Rh4,-0.53754
770,Ac2Sb4Rh4,-0.74859
771,Ac2Si4Rh4,-0.95689
772,Ac2Zn4Rh4,-0.53382
773,Ac3Rh9,-0.44898
774,SrAcRh4,-0.43005
775,AcSi2Rh5,-0.80492
776,AcSn4Rh6,-0.55086
777,Ac2Si2Ru2,-0.70881
