,composition,Formation Energy (eV/atom)
673,Ac2Sb2O8,-2.36796
674,Ac2Ta2O8,-3.17345
675,Ac2U2O8,-3.38857
676,Ac2V2O8,-2.50572
677,Ac2W2O8,-1.78122
678,Ac2Re2O10,-2.30775
679,AcPt2O6,-1.37854
680,AcRh2O6,-1.50969
681,Ac2Se4O12,-1.5905
682,AcTa2O6,-3.05115
683,AcTa2O7,-2.91409
684,AcS2O8,-1.83021
685,AcPmOs,-0.02909
686,Ac2Si2Os2,-0.56005
687,AcTbOs,-0.06082
688,AcSb12Os4,-0.20521
689,AcP,-1.46981
690,AcPPd,-1.22895
691,AcPPt,-1.31647
692,AcPRh,-1.15144
693,Ac2P2S8,-1.09811
694,AcP2Pd2,-0.94499
695,AcP2Pd5,-0.76236
696,Ac2Pa4S10,-1.81628
697,Ac2Pa4Se10,-1.59199
698,Ac2Pa4Te10,-1.08942
699,Ac4Pd8Pb4,-0.65993
700,AcPt4Pb,-0.69324
701,Ac2Sc2Pb2,-0.43828
702,Ac4Pd4Pb8,-0.54347
703,Ac2Rh2Pb4,-0.47535
704,AcTlPb2,-0.39714
705,AcPb3,-0.4149
706,AcRh4Pb6,-0.26377
707,AcPd,-0.78445
708,AcSbPd,-1.09451
709,AcSiPd,-0.86644
710,AcSnPd,-0.85194
711,Ac2Sn4Pd2,-0.78786
712,AcZnPd,-0.66771
713,Ac2Zn4Pd2,-0.55146
714,Ac2Sb4Pd4,-0.89787
715,AcSi2Pd2,-0.86154
716,AcSnPd2,-0.81521
717,AcSn2Pd2,-0.78413
718,SrAcPd2,-0.72701
719,AcTe2Pd2,-0.81913
720,Ac4Zn4Pd8,-0.73307
721,AcPd3,-0.73363
722,Ac2Si2Pd6,-0.85448
723,AcTlPd4,-0.60193
724,AcPd5,-0.58301
725,AcPmRu,-0.11948
726,Ac2Pm2Si6,-0.64825
727,AcPmSi4,-0.55812
728,Ac2Pm6S12,-2.11387
729,Ac2Pm6Se12,-1.93698
730,Ac2Pm6Te12,-1.47923
731,AcPrRu,-0.09947
732,Ac2Pr2Si6,-0.63773
733,AcPt,-1.17325
734,AcPtRh,-0.84094
735,Ac2Sb2Pt2,-1.15196
736,AcSiPt,-1.06909
737,AcSi2Pt,-0.87663
738,AcSnPt,-0.96692
739,Ac4Sn8Pt4,-0.84063
740,AcYbPt,-0.81516
741,AcZnPt,-0.85671
742,AcPt2,-1.02155
743,Ac2Sb4Pt4,-0.90547
744,Ac2Si4Pt4,-0.95481
745,Ac2Sn4Pt4,-0.90878
746,AcYbPt2,-1.06515
747,AcZn2Pt2,-0.81773
748,SrAcPt4,-0.95464
749,AcTlPt4,-0.73435
750,AcPt5,-0.76311
751,AcSi2Pt5,-0.89613
752,Ac2Pu2Si2,-0.38071
753,AcPuTe2,-1.28869
754,RbAcS2,-1.88314
755,RbAcSe2,-1.8038
756,RbAcTe2,-1.4914
757,Ac2Rh2,-0.67834
758,AcSbRh,-0.9244
759,Ac4Si4Rh4,-0.90709
760,AcSi3Rh,-0.76795
761,Ac4Sn4Rh4,-0.78757
762,Ac4Sn8Rh4,-0.72132
763,Sr2Ac2Rh2,-0.4665
764,AcTeRh,-1.09954
765,Ac2Tl4Rh2,-0.40146
766,AcYbRh,-0.4953
767,Ac4Zn4Rh4,-0.60215
768,Ac2Zn4Rh2,-0.50458
769,Ac2Rh4,-0.57061
770,Ac2Sb4Rh4,-0.84859
771,Ac2Si4Rh4,-0.94023
772,Ac2Zn4Rh4,-0.53114
773,Ac3Rh9,-0.44489
774,SrAcRh4,-0.43438
775,AcSi2Rh5,-0.78104
776,AcSn4Rh6,-0.55606
777,Ac2Si2Ru2,-0.72017
